"type","engine","fuelcap","horsepow","length","mpg","price","sales","weight","wheelbas","width"
"Automobile",1.8,13.2,140,172.4,28,21.5,16.919,2.639,101.2,67.3
"Automobile",3.2,17.2,225,192.9,25,28.4,39.384,3.517,108.1,70.3
"Automobile",3.2,17.2,225,192,26,32.1,14.114,3.47,106.9,70.6
"Automobile",3.5,18,210,196.6,22,42,8.588,3.85,114.6,71.4
"Automobile",1.8,16.4,150,178,27,23.99,20.397,2.998,102.6,68.2
"Automobile",2.8,18.5,200,192,22,33.95,18.78,3.561,108.7,76.1
"Automobile",4.2,23.7,310,198.2,21,62,1.38,3.902,113,74
"Automobile",2.5,16.6,170,176,26,26.99,19.747,3.179,107.3,68.4
"Automobile",2.8,16.6,193,176,24,33.4,9.231,3.197,107.3,68.5
"Automobile",2.8,18.5,193,188,25,38.9,17.527,3.472,111.4,70.9
"Automobile",3.1,17.5,175,194.6,25,21.975,91.561,3.368,109,72.7
"Automobile",3.8,17.5,240,196.2,23,25.3,39.35,3.543,109,72.7
"Automobile",3.8,18.5,205,206.8,24,31.965,27.851,3.778,113.8,74.7
"Automobile",3.8,17.5,205,200,25,27.885,83.257,3.591,112.2,73.5
"Automobile",4.6,18.5,275,207.2,22,39.895,63.729,3.978,115.3,74.5
"Automobile",4.6,18.5,275,201,22,44.475,15.943,3.845,112.2,75
"Automobile",4.6,19,275,200.6,22,39.665,6.536,3.843,108,75.5
"Automobile",3,18,200,194.8,22,31.01,11.185,3.77,107.4,70.3
"Truck",5.7,30,255,201.2,15,46.225,14.785,5.572,117.5,77
"Automobile",2.2,14.3,115,180.9,27,13.26,145.519,2.676,104.1,67.9
"Automobile",3.1,15,170,190.4,25,16.535,135.126,3.051,107,69.4
"Automobile",3.1,16.6,175,200.9,25,18.89,24.629,3.33,107.5,72.5
"Automobile",3.4,17,180,197.9,27,19.39,42.593,3.34,110.5,72.7
"Automobile",3.8,16.8,200,193.2,25,24.34,26.402,3.5,101.1,74.1
"Automobile",5.7,19.1,345,179.7,22,45.705,17.947,3.21,104.5,73.6
"Automobile",1.8,13.2,120,174.3,33,13.96,32.299,2.398,97.1,66.7
"Automobile",1,10.3,55,149.4,45,9.235,21.855,1.895,93.1,62.6
"Automobile",3.4,17,180,200,27,18.89,107.995,3.389,110.5,73
"Automobile",2.5,15.9,163,190.9,24,19.84,7.854,2.967,103.7,69.7
"Automobile",2.5,16,168,193,24,24.495,32.775,3.332,106,69.2
"Automobile",2.7,17,200,209.1,26,22.245,31.148,3.452,113,74.4
"Automobile",2,16,132,186,27,16.48,32.306,2.911,108,71
"Automobile",3.5,17,253,207.7,23,28.34,13.462,3.564,113,74.4
"Automobile",3.5,17,253,197.8,23,29.185,30.696,3.567,113,74.4
"Automobile",2,12.5,132,174.4,29,12.64,76.034,2.567,105,74.4
"Automobile",2.5,15.9,163,190.2,24,19.045,4.734,2.879,103.7,69.1
"Automobile",2.5,16,168,186,24,20.23,71.186,3.058,108,71
"Automobile",2.7,17,202,203.7,19,22.505,88.028,3.489,113,74.7
"Automobile",8,19,450,176.7,16,69.725,0.916,3.375,96.2,75.7
"Truck",5.2,26,230,224.2,17,19.46,227.061,4.47,138.7,79.3
"Truck",3.9,32,175,192.6,15,21.315,16.767,4.245,109.6,78.8
"Truck",3.9,32,175,208.5,16,18.575,31.038,4.298,127.2,78.8
"Truck",2.5,22,120,215,19,16.98,111.313,3.557,131,71.5
"Truck",5.2,25,230,193.5,17,26.31,101.323,4.394,115.7,71.7
"Truck",2.4,20,150,186.3,24,19.565,181.749,3.533,113.3,76.8
"Automobile",2,12.7,110,174.7,30,12.07,70.227,2.468,98.4,67
"Automobile",3.8,15.7,190,183.2,24,21.56,113.369,3.203,101.3,73.1
"Automobile",2.5,15,170,184.6,25,17.035,35.068,2.769,106.5,69.1
"Automobile",3,16,155,197.6,24,17.885,245.815,3.368,108.5,73
"Automobile",2,13.2,107,174.8,30,12.315,175.67,2.564,103,66.9
"Automobile",4.6,19,200,212,21,22.195,63.403,3.908,114.7,78.2
"Truck",4,21,210,190.7,19,31.93,276.747,3.876,111.6,70.2
"Truck",3,26,150,200.9,21,21.41,155.787,3.761,120.7,76.6
"Truck",4.6,26,240,204.6,16,36.135,125.338,4.808,119,78.7
"Truck",2.5,20,119,200.7,23,12.05,220.65,3.086,117.5,69.4
"Truck",4.6,25.1,220,224.5,18,26.935,540.561,4.241,138.5,79.1
"Automobile",1.6,11.9,106,175.1,32,12.885,199.685,2.339,103.2,67.1
"Automobile",2.3,17.1,135,188.8,27,15.35,230.902,2.932,106.9,70.3
"Truck",2,15.3,146,177.6,24,20.55,73.203,3.219,103.2,68.9
"Truck",3.2,21.1,205,178.2,19,26.6,12.855,3.857,106.4,70.4
"Truck",3.5,20,210,201.2,23,26,76.029,4.288,118.1,75.6
"Automobile",1.5,11.9,92,166.7,31,9.699,41.184,2.24,96.1,65.7
"Automobile",2,14.5,140,174,27,11.799,66.692,2.626,100.4,66.9
"Automobile",2.4,17.2,148,185.4,25,14.999,29.45,3.072,106.3,71.6
"Automobile",3,18.5,227,193.7,25,29.465,23.713,3.342,108.3,70.2
"Automobile",3,18.4,240,191.3,21,42.8,15.467,3.65,114.5,71.6
"Truck",2.5,19,120,152,17,14.46,55.557,3.045,93.4,66.7
"Truck",4,20,190,167.5,20,21.62,80.556,3.194,101.4,69.4
"Truck",4,20.5,195,181.5,19,26.895,157.04,3.88,105.9,72.3
"Automobile",3,18.5,210,190.2,23,31.505,24.072,3.373,105.1,70.5
"Automobile",3,19.8,225,189.2,23,37.805,12.698,3.638,110.2,70.9
"Automobile",4,19.8,300,189.2,21,46.305,3.334,3.693,110.2,70.9
"Automobile",4,22.5,290,196.7,22,54.005,6.375,3.89,112.2,72
"Truck",4.7,25.4,230,192.5,15,60.105,9.126,5.401,112.2,76.4
"Truck",3,17.2,220,180.1,21,34.605,51.238,3.9,103,71.5
"Automobile",4.6,20,275,208.5,22,39.08,13.798,3.868,109,73.6
"Automobile",4.6,19,215,215.3,21,43.33,48.911,4.121,117.7,78.2
"Truck",5.4,30,300,204.8,15,42.66,22.925,5.393,119,79.9
"Automobile",1.8,13.2,113,173.6,30,13.987,26.232,2.25,98.4,66.5
"Automobile",2.4,15.9,154,175.4,24,19.047,42.541,2.91,100.8,68.9
"Automobile",2.4,16.3,145,187.8,25,17.357,55.616,2.945,103.7,68.5
"Automobile",3.5,19,210,194.1,22,24.997,5.711,3.443,107.1,70.3
"Automobile",3,19.8,161,180.3,21,25.45,0.11,3.131,97.2,72.4
"Truck",3.5,24.3,200,186.6,18,31.807,11.337,4.52,107.3,69.9
"Truck",3,19.5,173,178.3,20,22.527,39.348,3.51,107.3,66.7
"Automobile",2,15,125,184.8,28,16.24,14.351,2.769,106.5,69.1
"Automobile",2,16,125,185,30,16.54,26.529,2.892,106.4,69.6
"Automobile",3,16,153,199.7,24,19.035,67.956,3.379,108.5,73
"Automobile",4.6,19,200,212,21,22.605,81.174,3.958,114.7,78.2
"Truck",4,21,210,190.1,18,27.56,27.609,3.876,111.6,70.2
"Truck",3.3,20,170,194.7,21,22.51,20.38,3.944,112.2,74.9
"Automobile",2.3,16.4,185,177.4,26,31.75,18.392,3.25,105.9,67.7
"Automobile",3.2,21.1,221,189.4,25,49.9,27.602,3.823,111.5,70.8
"Automobile",4.3,23.2,275,203.1,21,69.7,16.774,4.133,121.5,73.1
"Automobile",5,21.1,302,177.1,20,82.6,3.311,4.125,99,71.3
"Automobile",2.3,15.9,190,157.9,26,38.9,7.998,3.055,94.5,67.5
"Automobile",2.3,14,185,157.3,27,41,1.526,2.975,94.5,67.5
"Automobile",3.2,16.4,215,180.3,26,41.6,11.592,3.213,105.9,67.8
"Automobile",5,23.2,302,196.6,20,85.5,0.954,4.115,113.6,73.1
"Truck",3.2,19,215,180.6,20,35.3,28.976,4.387,111,72.2
"Automobile",1.8,13.2,126,177.5,30,13.499,42.643,2.593,99.8,67.3
"Automobile",2.4,15.9,155,183.5,25,20.39,88.094,3.012,103.1,69.1
"Automobile",3,18.5,222,190.5,25,26.249,79.853,3.294,108.3,70.3
"Truck",3.3,20,170,194.8,21,26.399,27.308,3.991,112.2,74.9
"Truck",3.3,21,170,182.6,19,29.299,42.574,3.947,106.3,71.7
"Truck",3.3,19.4,170,178,18,22.799,54.158,3.821,104.3,70.4
"Truck",3.3,19.4,170,196.1,18,17.89,65.005,3.217,116.1,66.5
"Automobile",3.1,15.2,150,192,25,18.145,1.112,3.102,107,69.4
"Automobile",3.5,18,215,195.9,26,24.15,38.554,3.455,109,73.6
"Automobile",2.4,15,150,186.7,27,18.27,80.255,2.958,107,70.1
"Automobile",4,18.5,250,205.4,22,36.229,14.69,3.967,113.8,74.4
"Truck",4.3,17.5,190,181.2,19,31.598,20.017,4.068,107,67.8
"Truck",3.4,25,185,201.4,22,25.345,24.361,3.948,120,72.2
"Automobile",2,12.5,132,174.4,29,12.64,32.734,2.559,105,74.4
"Automobile",2,16,132,186.3,27,16.08,5.24,2.942,108,71
"Truck",2.4,20,150,186.3,24,18.85,24.155,3.528,113.3,76.8
"Automobile",3.5,12,253,165.4,21,43,1.872,2.85,113.3,76.3
"Automobile",2.4,15,150,181.9,27,21.61,51.645,2.906,104.1,68.4
"Automobile",3.4,15.2,175,186.3,25,19.72,131.097,3.091,107,70.4
"Automobile",3.8,16.8,200,193.4,25,25.31,19.911,3.492,101.1,74.5
"Automobile",3.8,18,195,196.5,25,21.665,92.364,3.396,110.5,72.7
"Automobile",3.8,17.5,205,202.5,24,23.755,35.945,3.59,112.2,72.6
"Truck",3.4,25,185,201.3,23,25.635,39.572,3.942,120,72.7
"Automobile",2.7,17,217,171,22,41.43,8.982,2.778,95.2,70.1
"Automobile",3.4,17,300,174.5,21,71.02,1.28,3.032,92.6,69.5
"Automobile",3.4,17,300,174.5,23,74.97,1.866,3.075,92.6,69.5
"Automobile",2.3,18.5,170,189.2,23,33.12,9.191,3.28,106.4,70.6
"Automobile",2,16.9,185,182.2,23,26.1,12.115,2.99,102.6,67.4
"Automobile",1.9,12.1,100,176.9,33,10.685,80.62,2.332,102.4,66.4
"Automobile",1.9,12.1,100,180,33,12.535,24.546,2.367,102.4,66.4
"Automobile",1.9,12.1,124,176.9,31,14.29,5.223,2.452,102.4,66.4
"Automobile",2.2,13.1,137,190.4,27,18.835,8.472,3.075,106.5,69
"Automobile",2.2,13.1,137,190.4,28,15.01,49.989,2.91,106.5,69
"Automobile",2.5,16.9,165,185.8,25,22.695,47.107,3.415,103.5,67.5
"Truck",2.5,15.9,165,175.2,24,20.095,33.028,3.125,99.4,68.3
"Automobile",1.8,13.2,120,174,33,13.108,142.535,2.42,97,66.7
"Automobile",2.2,18.5,133,188.5,27,17.518,247.994,2.998,105.2,70.1
"Automobile",3,18.5,210,191.9,26,25.545,63.849,3.417,107.1,71.7
"Automobile",1.8,14.5,140,170.5,31,16.875,33.269,2.425,102.4,68.3
"Truck",2.4,15.1,142,178.7,23,11.528,84.087,2.58,103.3,66.5
"Truck",3,20.9,194,193.5,22,22.368,65.119,3.759,114.2,73.4
"Truck",2,15.3,127,163.8,27,16.888,25.106,2.668,94.9,66.7
"Truck",2.7,18.5,150,183.3,23,22.288,68.411,3.44,105.3,66.5
"Truck",4.7,25.4,230,192.5,15,51.728,9.835,5.115,112.2,76.4
"Automobile",2,14.5,115,163.3,26,14.9,9.761,2.767,98.9,68.3
"Automobile",2,14.5,115,172.3,26,16.7,83.721,2.853,98.9,68.3
"Automobile",1.8,16.4,150,184.1,27,21.2,51.102,3.043,106.4,68.5
"Automobile",2,13.7,115,160.4,26,19.99,9.569,3.079,97.4,66.7
"Automobile",2,14.6,115,163.3,26,17.5,5.596,2.762,98.9,68.3
"Automobile",2,14.5,115,161.1,26,15.9,49.463,2.769,98.9,67.9
"Automobile",1.9,15.8,160,176.6,25,23.4,16.957,2.998,100.5,67.6
"Automobile",1.9,15.8,160,176.6,25,24.4,3.545,3.042,100.5,67.6
"Automobile",2.4,17.9,168,185.9,25,27.5,15.245,3.208,104.9,69.3
"Automobile",2.4,17.9,168,186.2,25,28.8,17.531,3.259,104.9,69.3
"Automobile",2.3,18.5,236,185.7,23,45.5,3.493,3.601,104.9,71.5
"Automobile",2.9,21.1,201,189.8,24,36,18.969,3.6,109.9,72.1
